Accession,Protein Name,Coverage [%],# Peptides,# PSMs,# Unique Peptides,Gene Symbol,RV Fold-change,RV Adj. P-Value,LV Fold-change,LV Adj. P-Value,Tissue,Ome,Species
Q4FZT8,SPRY domain-containing protein 4 ,35,6,18,6,Spryd4,0.84,0.56,0.96,1.00,HEART,PROT,RAT
D4A1Y9,"Steroid 5 alpha-reductase 2-like 2 (Predicted), isoform CRA_b ",8,2,3,2,Tecrl,0.83,0.92,1.31,0.71,HEART,PROT,RAT
Q4FZT0,"Stomatin-like protein 2, mitochondrial ",31,9,17,9,Stoml2,1.27,0.29,1.47,0.05,HEART,PROT,RAT
F1M953,"Stress-70 protein, mitochondrial ",54,30,275,29,Hspa9,0.95,0.06,0.92,0.03,HEART,PROT,RAT
O35814,Stress-induced-phosphoprotein 1 ,38,20,63,20,Stip1,1.23,<0.01,1.25,<0.01,HEART,PROT,RAT
Q63638,Striated muscle-specific serine/threonine-protein kinase ,10,19,49,19,Speg,0.89,1.00,0.88,1.00,HEART,PROT,RAT
Q6PCT8,"Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial ",11,2,4,2,Sdhd,0.89,1.00,1.19,0.92,HEART,PROT,RAT
Q920L2,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial ",41,21,372,21,Sdha,0.89,0.30,0.88,0.33,HEART,PROT,RAT
P21913,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial ",26,9,101,9,Sdhb,0.86,0.73,0.83,0.28,HEART,PROT,RAT
Q641Z9,Succinate dehydrogenase complex subunit C ,24,3,17,3,Sdhc,1.12,1.00,0.84,1.00,HEART,PROT,RAT
A0A0H2UHE1,"Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial ",30,9,140,9,Suclg1,0.73,<0.01,0.79,<0.01,HEART,PROT,RAT
B2RZ24,Succinate-CoA ligase subunit beta (Fragment) ,50,20,216,20,Sucla2,0.91,0.02,0.92,0.10,HEART,PROT,RAT
Q499V7,Succinate-CoA ligase subunit beta (Fragment) ,50,20,105,20,Suclg2,0.74,<0.01,0.83,<0.01,HEART,PROT,RAT
P51650,"Succinate-semialdehyde dehydrogenase, mitochondrial ",36,14,37,14,Aldh5a1,0.76,0.37,0.80,0.57,HEART,PROT,RAT
B2GV06,"Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial ",53,20,658,20,Oxct1,1.85,<0.01,1.56,<0.01,HEART,PROT,RAT
G3V6R5,Sulfite oxidase ,33,12,36,12,Suox,0.70,0.12,0.83,0.70,HEART,PROT,RAT
Q6LDS4,Superoxide dismutase [Cu-Zn] ,38,6,56,6,Sod1,1.00,1.00,1.00,1.00,HEART,PROT,RAT
P07895,"Superoxide dismutase [Mn], mitochondrial ",64,11,187,11,Sod2,0.97,0.85,0.89,0.52,HEART,PROT,RAT
D3ZEV8,"Sushi domain containing 2 (Predicted), isoform CRA_a ",11,6,12,6,Susd2,1.00,1.00,1.27,0.28,HEART,PROT,RAT
Q3MIE4,Synaptic vesicle membrane protein VAT-1 homolog ,17,5,8,5,Vat1,1.47,0.03,1.71,0.02,HEART,PROT,RAT
Q9WVJ4,Synaptojanin-2-binding protein ,32,4,9,4,Synj2bp,0.76,0.08,0.81,0.06,HEART,PROT,RAT
B1VKB4,Synaptopodin ,16,10,25,10,Synpo,0.88,0.04,1.07,0.77,HEART,PROT,RAT
D3ZZ68,Synaptopodin 2-like ,19,11,34,11,Synpo2l,1.09,0.57,1.01,1.00,HEART,PROT,RAT
D4A702,Synaptopodin-2 ,23,21,63,21,Synpo2,1.16,0.09,1.07,0.78,HEART,PROT,RAT
D3ZM91,Syncoilin (Predicted) ,24,8,15,8,Sync,1.10,1.00,1.14,1.00,HEART,PROT,RAT
A0A096MK54,Synemin,26,20,33,20,Synm,2.54,<0.01,1.71,0.01,HEART,PROT,RAT
A0A0G2K4U8,Syntaxin-12 ,21,3,16,3,Stx12,1.08,1.00,1.19,0.62,HEART,PROT,RAT
D3ZWC6,"Syntrophin, basic 1 (Predicted) ",38,17,47,15,Sntb1,1.11,0.82,1.05,0.46,HEART,PROT,RAT
D3ZA84,Talin 2 ,34,66,202,58,Tln2,1.04,0.34,1.17,<0.01,HEART,PROT,RAT
A0A0G2K2T1,Taxilin beta ,27,14,26,14,Txlnb,0.87,0.18,0.94,1.00,HEART,PROT,RAT
P28480,T-complex protein 1 subunit alpha ,34,15,47,15,Tcp1,1.15,1.00,1.24,0.29,HEART,PROT,RAT
Q5XIM9,T-complex protein 1 subunit beta ,52,20,81,20,Cct2,1.22,0.02,1.18,0.06,HEART,PROT,RAT
Q7TPB1,T-complex protein 1 subunit delta ,23,12,27,12,Cct4,1.14,0.14,1.27,0.01,HEART,PROT,RAT
Q68FQ0,T-complex protein 1 subunit epsilon ,39,19,50,19,Cct5,1.19,0.04,1.24,0.03,HEART,PROT,RAT
D4AC23,T-complex protein 1 subunit eta ,26,12,35,12,Cct7,1.22,<0.01,1.27,<0.01,HEART,PROT,RAT
Q6P502,T-complex protein 1 subunit gamma ,33,16,66,16,Cct3,1.15,0.16,1.29,0.03,HEART,PROT,RAT
F1LN42,Tensin 1 ,32,37,96,36,Tns1,0.83,0.07,1.01,1.00,HEART,PROT,RAT
D3ZTN1,Tescalcin ,33,6,14,6,Tesc,0.80,1.00,1.61,0.96,HEART,PROT,RAT
A0A0G2KAW4,Thimet oligopeptidase ,11,6,12,6,Thop1,0.95,1.00,0.86,0.60,HEART,PROT,RAT
P11232,Thioredoxin ,31,3,14,3,Txn1,1.11,1.00,1.22,0.93,HEART,PROT,RAT
G3V912,Thioredoxin domain containing 13 ,19,5,7,5,Tmx4,1.16,0.31,1.33,0.07,HEART,PROT,RAT
A0A0G2K3Z9,Thioredoxin domain-containing protein ,45,9,69,9,Prdx1l1,1.22,0.04,1.13,0.28,HEART,PROT,RAT
R9PXU4,"Thioredoxin reductase 1, cytoplasmic ",24,8,18,8,Txnrd1,1.02,1.00,1.14,0.85,HEART,PROT,RAT
Q9Z0J5,"Thioredoxin reductase 2, mitochondrial ",35,13,69,13,Txnrd2,0.81,0.11,0.85,0.48,HEART,PROT,RAT
A0A0G2K737,Thioredoxin-like protein 1 ,32,6,19,6,Txnl1,1.21,0.66,1.12,1.00,HEART,PROT,RAT
P24329,Thiosulfate sulfurtransferase ,39,10,41,9,Tst,0.70,<0.01,0.91,0.36,HEART,PROT,RAT
Q68FW7,"Threonine--tRNA ligase, mitochondrial ",19,11,29,10,Tars2,1.17,0.30,1.24,0.22,HEART,PROT,RAT
Q5M7V8,Thyroid hormone receptor-associated protein 3 ,4,2,4,2,Thrap3,1.00,1.00,1.12,1.00,HEART,PROT,RAT
A0A0G2K2P5,Tight junction protein ZO-1 ,10,12,25,12,Tjp1,1.02,1.00,0.96,1.00,HEART,PROT,RAT
A2VCX1,TIP41-like protein ,23,3,10,3,Tiprl,0.77,0.67,0.85,0.99,HEART,PROT,RAT
Q9WVJ6,Tissue-type transglutaminase ,35,21,107,21,Tgm2,3.55,<0.01,2.41,<0.01,HEART,PROT,RAT
Q63580,Titin (Fragment) ,48,8,53,8,Ttn,0.93,1.00,0.89,0.30,HEART,PROT,RAT
Q9JJ49,Titin (Fragment) ,52,8,57,8,Ttn,0.91,0.50,0.91,0.62,HEART,PROT,RAT
P97851,Titin protein homolog (Fragment) ,60,3,26,3,Ttn,0.94,1.00,0.93,1.00,HEART,PROT,RAT
B1WBR4,Tnnt2 protein ,47,20,527,20,Tnnt2,0.93,0.97,0.92,0.66,HEART,PROT,RAT
B4F793,Tnxb protein (Fragment) ,10,6,11,6,Tnxa-ps1,1.63,0.06,1.58,0.09,HEART,PROT,RAT
A2RUW1,Toll-interacting protein ,13,3,4,3,Tollip,0.97,1.00,0.86,1.00,HEART,PROT,RAT
Q499Q2,TPD52-like 1 ,41,6,15,6,Tpd52l1,0.93,1.00,0.91,1.00,HEART,PROT,RAT
Q9EQS0,Transaldolase ,26,9,30,9,Taldo1,0.94,0.91,1.02,1.00,HEART,PROT,RAT
Q91ZW1,"Transcription factor A, mitochondrial ",34,9,19,9,Tfam,1.01,1.00,0.96,1.00,HEART,PROT,RAT
F1LPS8,Transcriptional activator protein Pur-alpha ,31,7,21,6,Pura,1.08,0.42,1.06,0.25,HEART,PROT,RAT
A0A0G2JUX5,Transcriptional activator protein Pur-beta ,38,7,13,6,Purb,1.19,0.30,1.08,1.00,HEART,PROT,RAT
P61589,Transforming protein RhoA ,22,3,13,3,Rhoa,1.02,1.00,1.01,1.00,HEART,PROT,RAT
A0A0G2JWK7,Transgelin ,49,10,34,10,Tagln,0.65,<0.01,1.27,0.06,HEART,PROT,RAT
Q5XFX0,Transgelin-2 ,61,10,63,10,Tagln2,1.61,0.02,1.52,0.02,HEART,PROT,RAT
P46462,Transitional endoplasmic reticulum ATPase ,40,29,166,29,Vcp,1.21,<0.01,1.08,0.07,HEART,PROT,RAT
G3V826,Transketolase ,22,9,27,9,Tkt,1.28,0.09,1.54,0.03,HEART,PROT,RAT
D4A601,Translational activator of cytochrome c oxidase 1 ,23,4,7,4,Taco1,1.13,1.00,0.87,1.00,HEART,PROT,RAT
P63029,Translationally-controlled tumor protein ,35,5,23,5,Tpt1,0.92,1.00,0.99,1.00,HEART,PROT,RAT
Q63584,Transmembrane emp24 domain-containing protein 10 ,22,4,9,4,Tmed10,1.49,0.01,1.44,0.01,HEART,PROT,RAT
Q5HZA9,Transmembrane protein 126A ,12,2,7,2,Tmem126a,0.84,0.78,1.16,0.91,HEART,PROT,RAT
D3ZZT3,Transmembrane protein 182 ,10,2,11,2,Tmem182,1.13,0.87,1.11,0.48,HEART,PROT,RAT
F1LQZ0,Transmembrane protein 65 ,14,3,5,3,Tmem65,0.64,<0.01,0.78,0.03,HEART,PROT,RAT
A0A0G2JXP4,Transport and golgi organization 2 homolog ,26,5,13,5,RGD1310348; Tango2,0.91,0.97,0.85,0.67,HEART,PROT,RAT
P02767,Transthyretin ,63,7,46,7,Ttr,1.13,1.00,1.11,1.00,HEART,PROT,RAT
Q64428,"Trifunctional enzyme subunit alpha, mitochondrial ",49,31,562,31,Hadha,0.44,<0.01,0.53,<0.01,HEART,PROT,RAT
Q60587,"Trifunctional enzyme subunit beta, mitochondrial ",54,20,226,20,Hadhb,0.44,<0.01,0.56,<0.01,HEART,PROT,RAT
P48500,Triosephosphate isomerase ,50,11,153,11,Tpi1; LOC100911515,1.06,0.13,1.02,1.00,HEART,PROT,RAT
A0JPQ4,Tripartite motif-containing protein 72 ,41,16,133,16,Trim72,1.16,0.01,1.11,0.07,HEART,PROT,RAT
Q9EQV6,Tripeptidyl-peptidase 1 ,14,4,11,4,Tpp1,0.78,0.60,0.88,1.00,HEART,PROT,RAT
Q64560,Tripeptidyl-peptidase 2 ,20,17,41,17,Tpp2,1.47,<0.01,1.48,<0.01,HEART,PROT,RAT
Q4VBH2,tRNA nucleotidyl transferase 1 ,13,4,11,4,Trnt1,0.90,1.00,1.09,0.45,HEART,PROT,RAT
D3ZSG3,Tropomodulin 4 ,19,5,18,4,Tmod4,0.25,<0.01,0.49,<0.01,HEART,PROT,RAT
Q6IMZ5,Tropomodulin-1 ,50,17,82,15,Tmod1,1.29,<0.01,1.08,0.26,HEART,PROT,RAT
Q923Z2,"Tropomyosin 1, alpha, isoform CRA_a ",62,26,267,4,Tpm1,0.71,0.01,1.14,0.45,HEART,PROT,RAT
P04692,Tropomyosin alpha-1 chain ,73,34,488,9,Tpm1,1.00,1.00,0.95,0.87,HEART,PROT,RAT
Q63610,Tropomyosin alpha-3 chain ,42,16,194,5,Tpm3,1.53,0.08,1.46,0.10,HEART,PROT,RAT
P09495,Tropomyosin alpha-4 chain ,48,19,122,6,Tpm4,1.29,0.01,1.12,0.08,HEART,PROT,RAT
P23693,"Troponin I, cardiac muscle ",35,10,270,10,Tnni3,0.92,1.00,0.93,0.99,HEART,PROT,RAT
A0A0G2K673,Tryptophanyl-tRNA synthetase ,15,5,12,5,Wars,1.38,0.05,1.16,0.37,HEART,PROT,RAT
P68370,Tubulin alpha-1A chain ,45,17,181,5,Tuba1a,1.53,<0.01,1.52,<0.01,HEART,PROT,RAT
Q5XIF6,Tubulin alpha-4A chain ,39,13,183,3,Tuba4a,1.54,<0.01,1.58,<0.01,HEART,PROT,RAT
Q6AY56,Tubulin alpha-8 chain ,39,12,139,3,Tuba8,0.82,0.01,1.06,0.57,HEART,PROT,RAT
Q4QQV0,Tubulin beta chain ,43,12,107,4,Tubb6,1.65,0.12,1.52,0.20,HEART,PROT,RAT
P85108,Tubulin beta-2A chain ,49,15,184,4,Tubb2a,1.08,0.53,1.23,0.21,HEART,PROT,RAT
P69897,Tubulin beta-5 chain ,52,17,222,5,Tubb5,1.61,<0.01,1.43,<0.01,HEART,PROT,RAT
Q6PEC1,Tubulin-specific chaperone A ,15,2,4,2,Tbca,0.85,1.00,1.26,0.92,HEART,PROT,RAT
Q6PCT3,Tumor protein D54 ,31,5,13,5,Tpd52l2,1.02,1.00,1.13,0.70,HEART,PROT,RAT
Q6IRE4,Tumor susceptibility gene 101 protein ,13,4,6,4,Tsg101,1.06,1.00,1.24,0.57,HEART,PROT,RAT
B0BN97,Txndc12 protein (Fragment) ,31,5,11,5,Txndc12,1.67,<0.01,1.63,0.01,HEART,PROT,RAT
P41499,Tyrosine-protein phosphatase non-receptor type 11 ,26,11,33,11,Ptpn11,1.07,1.00,1.00,1.00,HEART,PROT,RAT
Q4KM49,"Tyrosine--tRNA ligase, cytoplasmic ",12,5,8,5,Yars,1.06,0.98,0.94,0.98,HEART,PROT,RAT
F2Z3T9,U2 snRNP auxiliary factor large subunit ,12,4,11,4,U2af2,0.86,1.00,0.96,1.00,HEART,PROT,RAT
B2RZA9,Ube2l3 protein ,56,6,40,6,Ube2l3; NEWGENE_1308361,1.15,0.06,1.11,0.33,HEART,PROT,RAT
A0A140TAI1,"Ubiquilin 1, isoform CRA_a ",8,3,7,3,Ubqln1,1.25,0.70,0.96,1.00,HEART,PROT,RAT
Q68FU7,"Ubiquinone biosynthesis monooxygenase COQ6, mitochondrial ",36,12,38,12,Coq6,0.69,0.04,0.86,0.90,HEART,PROT,RAT
Q68FT1,"Ubiquinone biosynthesis protein COQ9, mitochondrial ",45,9,137,9,Coq9,0.57,<0.01,0.68,<0.01,HEART,PROT,RAT
D3ZVQ0,Ubiquitin carboxyl-terminal hydrolase ,26,17,38,17,Usp5,1.09,0.97,1.08,1.00,HEART,PROT,RAT
Q5U2N2,Ubiquitin carboxyl-terminal hydrolase ,33,13,27,13,Usp14,0.92,1.00,1.10,0.94,HEART,PROT,RAT
Q9ES53,Ubiquitin recognition factor in ER-associated degradation protein 1 ,23,4,8,4,Ufd1l; Ufd1,1.03,1.00,1.07,1.00,HEART,PROT,RAT
B2RYG6,Ubiquitin thioesterase OTUB1 ,29,6,14,6,Otub1,1.02,1.00,1.18,0.66,HEART,PROT,RAT
Q9EQX9,Ubiquitin-conjugating enzyme E2 N ,62,7,39,7,Ube2n,1.05,0.81,1.13,0.79,HEART,PROT,RAT
D3ZFY8,Ubiquitin-conjugating enzyme E2 V1 ,23,4,16,2,Ube2v1; LOC679539; LOC100912618,1.03,0.75,1.10,0.50,HEART,PROT,RAT
D3ZNQ6,Ubiquitin-conjugating enzyme E2M ,25,5,14,5,Ube2m,1.03,1.00,1.06,0.95,HEART,PROT,RAT
Q5U300,Ubiquitin-like modifier-activating enzyme 1 ,36,26,89,26,Uba1,1.07,0.79,1.24,0.16,HEART,PROT,RAT
Q499N6,UBX domain-containing protein 1 ,21,3,8,3,Ubxn1,1.02,1.00,1.01,1.00,HEART,PROT,RAT
D3ZF39,UDP-N-acetylglucosamine pyrophosphorylase 1 ,15,6,14,6,Uap1,2.15,0.03,2.27,0.08,HEART,PROT,RAT
Q4KM73,UMP-CMP kinase ,46,7,29,7,Cmpk1,0.96,1.00,1.02,1.00,HEART,PROT,RAT
A0A096MJB5,Unc-45 myosin chaperone B ,33,23,56,23,Unc45b,1.00,1.00,1.19,0.44,HEART,PROT,RAT
Q63355,Unconventional myosin-Ic ,26,20,48,20,Myo1c,0.95,0.98,1.05,1.00,HEART,PROT,RAT
M0R5J4,Uncharacterized protein ,59,19,346,15,,1.35,<0.01,1.18,<0.01,HEART,PROT,RAT
F1M7L9,Uncharacterized protein ,26,16,66,16,,1.23,0.01,1.14,0.11,HEART,PROT,RAT
F1LM19,Uncharacterized protein ,8,2,9,2,,1.20,0.26,1.14,0.77,HEART,PROT,RAT
D3ZJE2,Uncharacterized protein ,19,2,8,2,Rpl12-ps1,1.04,1.00,1.02,1.00,HEART,PROT,RAT
F1LTJ5,Uncharacterized protein ,21,37,147,37,,1.01,1.00,1.00,0.92,HEART,PROT,RAT
D3ZM33,Uncharacterized protein ,18,3,6,3,LOC100362298,1.01,1.00,0.90,1.00,HEART,PROT,RAT
D3Z874,Uncharacterized protein ,42,16,109,16,,0.99,1.00,0.99,1.00,HEART,PROT,RAT
F1M4I1,Uncharacterized protein ,27,11,25,10,,0.99,1.00,1.29,0.79,HEART,PROT,RAT
D4A8Y1,Uncharacterized protein ,38,24,190,24,,0.90,0.15,0.92,0.11,HEART,PROT,RAT
D3ZW57,Uncharacterized protein ,19,2,3,2,N/A,0.75,0.91,1.56,0.65,HEART,PROT,RAT
F1LWK7,Uncharacterized protein (Fragment) ,22,12,52,7,,1.00,0.92,0.92,1.00,HEART,PROT,RAT
Q642A4,UPF0598 protein C8orf82 homolog ,26,5,19,5,MGC94207,0.89,0.97,0.93,1.00,HEART,PROT,RAT
Q4V8I9,UTP--glucose-1-phosphate uridylyltransferase ,56,22,118,22,Ugp2,0.93,0.17,0.94,1.00,HEART,PROT,RAT
A0A0G2JXT0,Vacuolar protein sorting-associated protein 26A ,20,6,8,6,Vps26a,1.00,1.00,1.57,0.11,HEART,PROT,RAT
G3V8A5,Vacuolar protein sorting-associated protein 35 ,27,18,54,18,Vps35,1.09,1.00,1.41,0.17,HEART,PROT,RAT
P0C0A1,Vacuolar protein-sorting-associated protein 25 ,28,5,10,5,Vps25,0.95,1.00,1.13,0.58,HEART,PROT,RAT
Q04462,Valine--tRNA ligase ,25,21,53,21,Vars,0.95,1.00,0.95,1.00,HEART,PROT,RAT
Q4KLZ0,Vanin 1 ,23,7,30,7,Vnn1,2.05,<0.01,1.79,0.03,HEART,PROT,RAT
Q64232,Very-long-chain enoyl-CoA reductase ,17,5,6,5,Tecr,0.91,1.00,1.04,1.00,HEART,PROT,RAT
Q9Z270,Vesicle-associated membrane protein-associated protein A ,32,6,30,5,Vapa,1.06,1.00,1.16,0.77,HEART,PROT,RAT
Q9Z269,Vesicle-associated membrane protein-associated protein B ,23,5,18,4,Vapb,0.93,0.74,0.89,0.10,HEART,PROT,RAT
P31000,Vimentin ,68,30,250,23,Vim,1.92,<0.01,1.63,<0.01,HEART,PROT,RAT
A0A0G2K8V2,Vinculin ,59,58,401,58,Vcl,1.11,0.05,1.10,0.06,HEART,PROT,RAT
Q9Z2L0,Voltage-dependent anion-selective channel protein 1 ,68,15,273,15,Vdac1,1.31,0.04,0.85,0.34,HEART,PROT,RAT
P81155,Voltage-dependent anion-selective channel protein 2 ,35,8,93,7,Vdac2,1.01,0.87,0.89,0.37,HEART,PROT,RAT
A0A0G2JSR0,Voltage-dependent anion-selective channel protein 3 ,43,9,79,8,Vdac3,1.11,0.07,0.88,0.04,HEART,PROT,RAT
A0A0G2K3W1,von Willebrand factor A domain-containing 8 ,21,8,22,8,Vwa8,0.57,0.05,0.68,0.08,HEART,PROT,RAT
Q642A6,von Willebrand factor A domain-containing protein 1 ,34,8,18,8,Vwa1,1.11,1.00,1.15,1.00,HEART,PROT,RAT
P62815,"V-type proton ATPase subunit B, brain isoform ",12,5,10,5,Atp6v1b2,1.15,0.25,1.42,0.02,HEART,PROT,RAT
Q5RKI0,WD repeat-containing protein 1 ,38,16,79,16,Wdr1,1.07,0.34,1.13,0.53,HEART,PROT,RAT
O54975,Xaa-Pro aminopeptidase 1 ,17,8,20,8,Xpnpep1,1.41,0.02,1.42,0.02,HEART,PROT,RAT
Q5I0D7,Xaa-Pro dipeptidase ,15,7,8,7,Pepd,1.11,1.00,1.21,0.90,HEART,PROT,RAT
D4ABA9,Xin actin-binding repeat containing 1 ,24,18,39,18,Xirp1,2.10,<0.01,1.79,0.01,HEART,PROT,RAT
F1LMC2,Xin actin-binding repeat-containing protein 2 ,29,72,166,72,Xirp2,4.87,<0.01,2.79,<0.01,HEART,PROT,RAT
Q3ZAV2,Y-box-binding protein 1 ,8,2,4,2,Ybx1,0.95,1.00,1.02,1.00,HEART,PROT,RAT
D4A264,"Zinc-binding alcohol dehydrogenase, domain-containing 2 ",33,8,29,8,Zadh2,0.62,0.04,0.76,0.68,HEART,PROT,RAT
D4A7U1,Zyxin ,24,8,29,8,Zyx,1.79,0.02,1.84,0.01,HEART,PROT,RAT
